UT,AU,AF
WOS:000388576700007,"Akerlof, R; Holden, R","Akerlof, Robert; Holden, Richard"
WOS:000383326100001,"Kirkeboen, LJ; Leuven, E; Mogstad, M","Kirkeboen, Lars J.; Leuven, Edwin; Mogstad, Magne"
WOS:000359638900005,"Ivashina, V; Scharfstein, DS; Stein, JC","Ivashina, Victoria; Scharfstein, David S.; Stein, Jeremy C."
WOS:001076716200001,"Brancaccio, G; Kalouptsidi, M; Papageorgiou, T; Rosaia, N","Brancaccio, Giulia; Kalouptsidi, Myrto; Papageorgiou, Theodore; Rosaia, Nicola"
WOS:001030461600001,"Bianchi, F; Faccini, R; Melosi, L","Bianchi, Francesco; Faccini, Renato; Melosi, Leonardo"
WOS:001035117100001,"Greenwood, R; Hanson, S; Stein, JC; Sunderam, A","Greenwood, Robin; Hanson, Samuel; Stein, Jeremy C.; Sunderam, Adi"
WOS:000865127000001,"Chalendard, C; Fernandes, AM; Raballand, G; Rijkers, B","Chalendard, Cyril; Fernandes, Ana M.; Raballand, Gael; Rijkers, Bob"
WOS:000764509800001,"Michelman, V; Price, J; Zimmerman, SD","Michelman, Valerie; Price, Joseph; Zimmerman, Seth D."
WOS:000743312400011,"Einav, L; Finkelstein, A; Ji, YA; Mahoney, N","Einav, Liran; Finkelstein, Amy; Ji, Yunan; Mahoney, Neale"
WOS:000728439200007,"Stantcheva, S","Stantcheva, Stefanie"
WOS:000642334600007,"Dahl, GB; Kotsadam, A; Rooth, DO","Dahl, Gordon B.; Kotsadam, Andreas; Rooth, Dan-Olof"
WOS:000451281400007,"Spenkuch, JL; Toniatti, D","Spenkuch, Jorg L.; Toniatti, David"
WOS:000401981500001,"Atkin, D; Khandelwal, AK; Osman, A","Atkin, David; Khandelwal, Amit K.; Osman, Adam"
WOS:000351525000003,"Agarwal, S; Chomsisengphet, S; Mahoney, N; Stroebel, J","Agarwal, Sumit; Chomsisengphet, Souphala; Mahoney, Neale; Stroebel, Johannes"
WOS:000346660500010,"Lehmann, E; Simula, L; Trannoy, A","Lehmann, Etienne; Simula, Laurent; Trannoy, Alain"
WOS:000813236400001,"Olea, JLM; Ortoleva, P; Pai, MM; Prat, A","Montiel Olea, Jose Luis; Ortoleva, Pietro; Pai, Mallesh M.; Prat, Andrea"
WOS:000770420700001,"Clayton, C; Schaab, A","Clayton, Christopher; Schaab, Andreas"
